function,count,library
numpy.nan,1988,pandas
numpy.array,900,pandas
numpy.ndarray.shape,690,skimage
numpy.random,587,pandas
numpy.ndarray.dtype,542,pandas
numpy.arange(int),350,pandas
numpy.ndarray[int],341,matplotlib
numpy.int64,322,pandas
numpy.ndarray[int],297,pandas
*numpy.ndarray,283,matplotlib
numpy.ndarray,252,pandas
numpy.array(list[int]),246,pandas
numpy.ndarray[int],238,skimage
numpy.ndarray.dtype,238,skimage
"numpy.random.mtrand.RandomState.randn(numpy.random.mtrand.RandomState, int)",228,pandas
numpy.ndarray.ndim,228,skimage
numpy.array(list[builtins.bool]),209,pandas
numpy.ndarray[numpy.ndarray],201,pandas
numpy.ndarray[numpy.ndarray],200,skimage
numpy.arange(int),199,xarray
"numpy.array(list[int], dtype=Type[numpy.int64])",199,pandas
numpy.uint8,198,skimage
numpy.float64,198,pandas
numpy.float64 - numpy.float64,196,matplotlib
numpy.ndarray.shape,193,matplotlib
numpy.ndarray.all(numpy.ndarray),190,pandas
numpy.int64 == int,186,pandas
numpy.dtype(str),184,pandas
numpy.ndarray * numpy.ndarray,184,skimage
numpy.nan,184,xarray
"numpy.testing._private.utils.assert_array_equal(x=numpy.ndarray, y=numpy.ndarray)",180,skimage
"numpy.random.mtrand.RandomState.randn(numpy.random.mtrand.RandomState, int, int)",175,pandas
numpy.arange,174,pandas
numpy.dtype == str,170,pandas
numpy.zeros,168,skimage
numpy.ndarray.any(numpy.ndarray),161,pandas
numpy.float64 + numpy.float64,157,matplotlib
numpy.array,151,skimage
*numpy.ndarray,150,pandas
numpy.ndarray + numpy.ndarray,148,matplotlib
numpy.random,145,skimage
numpy.random,145,dask.array
numpy.ndarray == int,145,pandas
numpy.ndarray - numpy.ndarray,145,skimage
numpy.ndarray + numpy.ndarray,145,skimage
"numpy.testing._private.utils.assert_equal(actual=numpy.ndarray, desired=numpy.ndarray)",143,skimage
numpy.ndarray[numpy.ndarray],142,matplotlib
numpy.ndarray.shape,138,pandas
numpy.ndarray ** int,131,skimage
~numpy.ndarray,131,pandas
numpy.random,130,xarray
float * numpy.ndarray,128,matplotlib
numpy.intp,125,pandas
numpy.ndarray.ndim,122,pandas
"numpy.ndarray.astype(numpy.ndarray, str)",121,pandas
numpy.ndarray.copy(numpy.ndarray),121,pandas
numpy.ndarray * numpy.ndarray,121,matplotlib
numpy.random,120,matplotlib
"numpy.zeros(tuple[int, int])",120,skimage
*numpy.ndarray,114,skimage
numpy.arange(int),114,dask.array
numpy.arange(int),114,matplotlib
float * numpy.ndarray,114,skimage
numpy.ndarray.shape,112,dask.array
numpy.ndarray.all,108,pandas
numpy.object_,107,pandas
numpy.int32,107,pandas
"numpy.arange(int, dtype=str)",107,pandas
numpy.ndarray.dtype,106,dask.array
numpy.ma,103,matplotlib
numpy.pi,101,matplotlib
numpy.ndarray - numpy.ndarray,101,matplotlib
numpy.ndarray.dtype,100,xarray
