function,count
numpy.ndarray,53
numpy.isnan(int),19
numpy.dtype(str),8
numpy.isscalar(element=NoneType),3
"numpy.ndarray(dtype=tuple, shape=numpy.dtype)",1
numpy.ndarray.ndim,72
numpy.ndarray[tuple],4
numpy.isscalar(element=numpy.float64),7
numpy.ndarray.dtype,106
numpy.ndarray.shape,112
"numpy.float64[tuple[builtins.ellipsis, NoneType, NoneType]]",1
"numpy.ndarray[tuple[slice[int, int, NoneType], slice[int, int, NoneType]]]",5
numpy.int64 >= int,1
numpy.errstate(kwargs=dict),4
numpy.isscalar(element=numpy.ndarray),11
numpy.dtype != numpy.dtype,5
"numpy.isnan(tuple[int, int])",6
"numpy.amax(a=tuple[int, int])",1
numpy.ndarray.any(numpy.ndarray),11
numpy.isscalar(element=dask.array.core.Array),2
numpy.isscalar(element=int),7
numpy.prod(a=list[int]),6
numpy.errstate,7
numpy.vectorize,2
numpy.empty,22
"numpy.empty(dtype=tuple[int, int], shape=numpy.dtype)",1
"numpy.ndarray[tuple[slinumpy.ndarraye[int, int, NoneType], slinumpy.ndarraye[int, int, NoneType]]] = numpy.ndarray",2
Type[numpy.ndarray] == Type[numpy.ndarray],5
numpy.allclose,10
int * numpy.ndarray,22
numpy.dtype,6
"numpy.empty(tuple[int, int], dtype=numpy.dtype)",6
numpy.ndarray + int,43
numpy.concatenate,6
numpy.dtype == numpy.dtype,25
numpy.dtype != str,4
"numpy.allclose(a=numpy.ndarray, b=numpy.ndarray, equal_nan=builtins.bool)",2
"numpy.ndarray[tuple[sliinte[int, int, NoneType]]] = int",1
numpy.array(list[int]),56
numpy.arange(int),114
"numpy.ones(shape=tuple[int, int])",27
numpy.ndarray in dict,3
numpy.asarray(a=numpy.ndarray),7
numpy.dot,15
numpy.ndarray.T,13
numpy.float64.ndim,6
numpy.array(numpy.float64),7
"numpy.ndarray(dtype=tuple, shape=str)",1
numpy.array(dask.array.core.Array),6
"Type[numpy.ndarray] in tuple[Type[builtins.tuple], Type[builtins.str]]",1
numpy.eye(N=int),4
numpy.frombuffer,1
"numpy.frombuffer(builtins.bytes, dtype=Type[numpy.uint32])",1
numpy.dtype.hasobject,2
"numpy.ndarray.ravel(numpy.ndarray, order=str)",1
numpy.ndarray.strides,1
numpy.ndarray.ravel,2
"numpy.ndarray.view(numpy.ndarray, str)",3
numpy.random,145
numpy.random.mtrand.RandomState(numpy.ndarray),1
"numpy.ndarray[tuple[slice[int, int, NoneType], slice[int, int, NoneType], slice[int, int, NoneType]]]",2
numpy.linalg,23
numpy.inv(numpy.ndarray),2
numpy.linalg._umath_linalg,2
"numpy.inv(dask.array.core.Array, output_dtypes=Type[builtins.float])",1
numpy.matmul,2
numpy.ufunc.signature,2
numpy.ufunc.__name__,3
"numpy.ndarray.reshape(numpy.ndarray, tuple[int])",9
dictuiltins.function in dict,3
"numpy.empty(dtype=tuple[int, int, int], shape=numpy.dtype)",1
"numpy.ndarray[tuple[slinumpy.ndarraye[int, int, NoneType], slinumpy.ndarraye[int, int, NoneType], slinumpy.ndarraye[int, int, NoneType]]] = numpy.ndarray",1
numpy.float64,12
numpy.dtype(Type[numpy.float64]),1
"numpy.random.mtrand.RandomState.bytes(numpy.random.mtrand.RandomState, int)",1
numpy.uint32,1
"numpy.ndarray.reshape(numpy.ndarray, tuple[int, int])",39
numpy.random.RandomState,1
"numpy.random.mtrand.RandomState.normal(numpy.random.mtrand.RandomState, float, float, size=tuple[int, int, int])",1
numpy.linalg._umath_linalg.eig,1
"numpy.isscalar(element=tuple[numpy.ndarray, numpy.ndarray])",3
numpy.transpose,7
builtins.function.__name__,9
"numpy.transpose(a=numpy.ndarray, axes=tuple[int, int])",2
numpy.stack,4
"numpy.stack(arrays=list[numpy.ndarray], axis=int)",5
numpy.dtype(numpy.dtype),3
numpy.ScalarType,1
numpy.ndarray.__class__,1
numpy.concatenate(list[numpy.ndarray]),5
"numpy.concatenate(list[numpy.ndarray], axis=int)",6
"numpy.ndarray[tuple[slice[int, int, NoneType]]]",7
numpy.ceil(float),3
numpy.int64.ndim,7
numpy.array(numpy.int64),6
numpy.mean(a=numpy.ndarray),10
numpy.sum,13
numpy.float64.shape,10
numpy.zeros,24
"numpy.zeros(int, dtype=numpy.dtype)",1
numpy.int64.shape,5
numpy.isscalar(element=numpy.int64),7
Type[numpy.dtype].__module__,1
"Type[numpy.dtype] in tuple[Type[builtins.tuple], Type[builtins.list], Type[builtins.set]]",1
numpy.dtype.shape,4
numpy.ndarray.astype,2
numpy.dtype in dict,3
Type[numpy.dtype] in builtins.set,1
numpy.ndarray.tolist(numpy.ndarray),14
numpy.ndarray.mean(numpy.ndarray),5
numpy.ndarray.sum(numpy.ndarray),10
"numpy.arange(int, dtype=str)",5
Type[numpy.ndarray].__module__,7
"Type[numpy.dtype] in tuple[Type[builtins.list], Type[builtins.tuple], Type[builtins.set]]",1
numpy.can_cast,2
"numpy.can_cast(numpy.dtype, numpy.dtype, casting=str)",1
"numpy.ndarray.astype(numpy.ndarray, numpy.dtype)",8
*numpy.ndindex,5
"numpy.ndarray[tuple[int]] = tuple[str, int]",1
numpy.ndarray.flat,4
numpy.ndarray[tuple[int]],4
numpy.ndarray.size,10
numpy.dtype.itemsize,11
"numpy.empty(list[int], dtype=str)",2
numpy.ndindex(shape=tuple[tuple[int]]),4
"numpy.flatiter[int] = tuple[str, int]",2
numpy.flatiter[int],1
Type[numpy.ndarray] in builtins.set,1
"numpy.random.mtrand.RandomState.random_sample(numpy.random.mtrand.RandomState, size=tuple[int])",1
numpy.dtype == str,5
"numpy.zeros(int, dtype=str)",1
numpy.asarray(a=pandas.core.arrays.numpy_.PandasArray),1
numpy.dtype.kind,4
numpy.array,28
"Type[numpy.ndarray] in tuple[Type[builtins.tuple], Type[builtins.list], Type[builtins.set]]",1
numpy.nan,49
Type[numpy.dtype] in dict,1
numpy.int64(int),3
"numpy.array(list[numpy.int64], dtype=numpy.dtype)",1
"numpy.ndarray[slice[NoneType, int, NoneType]]",18
"numpy.int64[tuple[builtins.ellipsis, NoneType, NoneType]]",1
numpy.isnan,9
numpy.isnan(float),20
"numpy.ndindex(shape=tuple[tuple[int, int]])",3
"numpy.ndarray[tuple[int, int]]",7
"numpy.ndarray[tuple[int, int]] = tuple[str, int, int]",1
"numpy.random.mtrand.RandomState.random_sample(numpy.random.mtrand.RandomState, size=tuple[int, int])",1
"numpy.flatiter[int] = tuple[str, int, int]",1
numpy.array(list[str]),2
"numpy.zeros(int, dtype=Type[builtins.float])",1
"numpy.zeros(int, dtype=Type[builtins.int])",1
numpy.prod(a=list),4
float / numpy.float64,5
int <= numpy.float64,2
"numpy.float64[tuple[builtins.ellipsis, NoneType]]",1
"numpy.int64[tuple[builtins.ellipsis, NoneType]]",1
numpy.zeros(int),2
numpy.float64 ** float,2
builtins.builtin_function_or_method.__name__,1
numpy.block(arrays=list[numpy.ndarray]),3
"numpy.ndarray[tuple[slice[NoneType, NoneType, NoneType], slice[NoneType, int, NoneType]]]",2
numpy.block(arrays=list[list[numpy.ndarray]]),3
"numpy.ndarray[tuple[builtins.ellipsis, NoneType]]",4
numpy.block(arrays=list[list[dask.array.core.Array]]),1
numpy.array(list[list[int]]),15
numpy.array(int),11
"numpy.zeros(tuple[int, int])",2
numpy.ndarray.item(numpy.ndarray),1
numpy.ndarray * int,19
