function,count
"numpy.isfinite(list[Union[float, int]])",1
"numpy.array(list[Union[float, int]])",10
numpy.array,39
"numpy.ndarray.reshape(numpy.ndarray, int, int)",20
numpy.ndarray.shape,193
numpy.inf,31
numpy.ndarray.copy(numpy.ndarray),18
"numpy.array(list[list[float]], Type[builtins.float])",5
numpy.ma,103
"numpy.array(tuple[int, int, float])",1
"numpy.can_cast(numpy.dtype, Type[builtins.float], str)",2
"numpy.ndarray.astype(numpy.ndarray, Type[builtins.float])",9
numpy.float64 > int,21
numpy.ma.masked,6
numpy.ndarray.dtype,24
numpy.ndarray.ndim,60
numpy.float64 <= int,33
"numpy.array(tuple[int, int, int])",1
numpy.ndarray[int],341
*numpy.ndarray,283
numpy.isfinite(numpy.ndarray),4
numpy.ndarray.any(numpy.ndarray),20
"numpy.array(tuple[numpy.float64, numpy.float64, numpy.float64, float])",1
"numpy.ndarray[tuple[int, int]]",68
numpy.ma.MaskedArray,15
"numpy.ma.core.filled(a=numpy.ndarray, fill_value=float)",1
"numpy.ndarray[tuple[slice[NoneType, NoneType, NoneType], int]]",99
numpy.float64 > numpy.float64,35
numpy.float64 - numpy.float64,196
int + numpy.float64,17
"numpy.array(tuple[int, int, numpy.float64, numpy.float64], dtype=Type[builtins.float])",1
"numpy.asarray(a=numpy.ndarray, dtype=Type[builtins.float])",8
numpy.array(list[float]),46
"numpy.asarray(a=list[list[float]], dtype=Type[builtins.float])",3
numpy.uint8 != numpy.uint8,3
numpy.flagsobj.writeable = builtins.bool,2
"numpy.array(tuple[int, int, int, int], dtype=Type[builtins.float])",1
"numpy.dot(numpy.ndarray, numpy.ndarray)",19
numpy.cos(numpy.float64),18
-numpy.float64,60
"numpy.array(list[list[Union[float, float, numpy.float64]]], Type[builtins.float])",7
numpy.array(numpy.ndarray),17
numpy.array(list[numpy.float64]),15
numpy.ndarray.all(numpy.ndarray),15
numpy.ndarray[int] = numpy.ndarray,3
numpy.array(list[list[numpy.float64]]),7
numpy.isfinite(list[float]),2
numpy.empty,14
"numpy.unravel_index(list[numpy.int64], tuple[int, int])",1
numpy.ndarray.flat,17
"numpy.column_stack(tup=list[list[Union[float, int]]])",3
numpy.cumsum(a=numpy.flatiter),4
"numpy.ndarray.reshape(numpy.ndarray, tuple[int, int])",31
numpy.ndarray.min(numpy.ndarray),33
numpy.ndarray.max(numpy.ndarray),41
"numpy.array(tuple[numpy.float64, numpy.float64, numpy.float64, numpy.float64], dtype=Type[builtins.float])",1
"numpy.asarray(a=list[tuple[float, float]], dtype=Type[builtins.float])",2
numpy.float64 == float,15
numpy.asarray(a=list[int]),18
numpy.any(a=numpy.ndarray),9
numpy.int64 > int,5
numpy.int64 <= int,13
numpy.int64 != int,12
