function,count
numpy.mean,64
"numpy.empty(int, dtype=str)",9
numpy.empty,83
"numpy.ndarray[slilist[str]e[NoneType, NoneType, NoneType]] = list[str]",1
numpy.object_,107
numpy.dtype,43
numpy.ndarray,252
numpy.dtype.type,97
numpy.dtype(str),184
numpy.dtype.kind,82
numpy.dtype.name,38
numpy.ndarray.astype,48
numpy.array,900
Type[numpy.ndarray] != Type[numpy.ndarray],1
Type[numpy.ndarray].__name__,12
numpy.asarray(a=numpy.ndarray),81
numpy.ndarray.shape,138
numpy.ndarray.dtype,542
numpy.ndarray.ravel(numpy.ndarray),60
"numpy.ndarray.take(numpy.ndarray, numpy.ndarray)",45
numpy.ndarray.argsort(numpy.ndarray),9
numpy.bool_,67
numpy.integer,29
numpy.dtype(numpy.dtype),11
numpy.int64(int),27
numpy.dtype != numpy.dtype,30
numpy.flagsobj.f_contiguous,3
numpy.ndarray.ndim,122
"numpy.array(list[int], dtype=Type[numpy.int64])",199
numpy.datetime64,54
numpy.timedelta64,76
numpy.void,1
"numpy.array_equal(a1=numpy.ndarray, a2=numpy.ndarray)",7
"numpy.array(list[str], dtype=Type[builtins.object])",40
numpy.asarray(a=list[int]),24
numpy.signedinteger,2
numpy.ndarray.base,27
numpy.floating,12
numpy.complexfloating,4
"numpy.can_cast(int, numpy.dtype)",1
numpy.dtype == Type[numpy.object_],39
numpy.ndarray.flags,15
"numpy.empty(tuple[int], dtype=str, order=numpy.dtype)",1
"numpy.ndarray.astype(numpy.ndarray, numpy.dtype, copy=builtins.bool)",17
numpy.intp,125
"numpy.ndarray[slilist[numpy.float64]e[NoneType, NoneType, NoneType]] = list[numpy.float64]",1
numpy.unsignedinteger,2
numpy.float64,198
numpy.prod(a=tuple[int]),8
numpy.isnan(numpy.ndarray),13
numpy.ndarray & numpy.ndarray,72
numpy.ndarray.all(numpy.ndarray),190
numpy.inf,60
numpy.ma.MaskedArray,2
