function,count
numpy.linspace,8
numpy.exp(numpy.ndarray),20
numpy.array(list[float]),20
"numpy.ndarray.astype(numpy.ndarray, str)",34
"numpy.array(list[float], dtype=str)",1
numpy.ndarray - numpy.ndarray,145
numpy.ndarray.mean,17
numpy.float64 <= float,45
numpy.asarray(a=list[int]),9
"numpy.ndarray[slice[int, NoneType, NoneType]]",18
numpy.ndarray * numpy.ndarray,184
numpy.sum(a=numpy.ndarray),73
float * numpy.int64,2
"numpy.ndarray[slice[NoneType, int, NoneType]]",46
numpy.absolute(numpy.int64),1
"numpy.testing._private.utils.assert_almost_equal(actual=numpy.float64, desired=float)",20
"numpy.asarray(a=list[Union[float, int]])",1
float * numpy.float64,61
"numpy.vstack(tup=tuple[list[int], list[int]])",1
numpy.ndarray[int],238
numpy.ndarray == numpy.ndarray,37
"numpy.ndarray[tuple[slice[NoneType, NoneType, NoneType], int]]",84
numpy.asarray(a=numpy.ndarray),21
numpy.absolute(numpy.float64),8
"numpy.testing._private.utils.assert_equal(actual=numpy.float64, desired=float)",5
numpy.ndarray.T,60
numpy.all(a=numpy.ndarray),67
"numpy.vstack(tup=tuple[numpy.ndarray, numpy.ndarray])",7
numpy.ndarray.size,55
"numpy.testing._private.utils.assert_equal(actual=numpy.float64, desired=numpy.float64)",4
"numpy.testing._private.utils.assert_array_equal(x=list[int], y=list[int])",3
numpy.asarray(a=float),2
numpy.float64.ndim,1
numpy.testing,40
"numpy.testing._private.utils.assert_allclose(actual=numpy.float64, atol=float, desired=int)",1
numpy.ndarray % int,3
numpy.ndarray > float,11
int - numpy.ndarray,27
numpy.ndarray[numpy.ndarray] = numpy.ndarray,48
numpy.testing.assert_allclose,4
numpy.r_,9
numpy.ndarray.ndim,228
numpy.ndarray[numpy.ndarray],200
"numpy.testing._private.utils.assert_allclose(actual=numpy.ndarray, atol=float, desired=int)",6
"numpy.asarray(a=tuple[tuple[int, int, int], tuple[int, float, int]])",1
numpy.float64 > float,15
numpy.asarray(a=list[float]),5
"numpy.lituple[float, float].index_tricks.RClass[tuple[float, float]]",1
"numpy.asarray(a=tuple[float, float])",1
numpy.int64,13
"numpy.testing._private.utils.assert_equal(actual=numpy.int64, desired=int)",9
"numpy.round_(a=list[Union[float, int]])",1
"numpy.ndarray.astype(numpy.ndarray, Type[numpy.int64])",9
"numpy.lituple[int, int, int, int, int].index_tricks.RClass[tuple[int, int, int, int, int]]",1
"numpy.testing._private.utils.assert_array_equal(x=numpy.ndarray, y=numpy.ndarray)",180
"numpy.testing._private.utils.assert_equal(actual=str, desired=str)",3
numpy.__config__.__warningregistry__,1
numpy._distributor_init.__warningregistry__,1
numpy.compat._inspect.__warningregistry__,1
numpy.compat.__warningregistry__,1
numpy.core.multiarray.__warningregistry__,1
numpy.core._string_helpers.__warningregistry__,1
numpy.core._type_aliases.__warningregistry__,1
numpy.core._asarray.__warningregistry__,1
numpy.core._methods.__warningregistry__,1
numpy.core.shape_base.__warningregistry__,1
numpy.core.arrayprint.__warningregistry__,1
numpy.core.defchararray.__warningregistry__,1
numpy.core.memmap.__warningregistry__,1
numpy.core.machar.__warningregistry__,1
numpy.core.einsumfunc.__warningregistry__,1
numpy.core._add_newdocs.__warningregistry__,1
numpy.core._internal.__warningregistry__,1
numpy.core.__warningregistry__,1
numpy.lib.ufunclike.__warningregistry__,1
numpy.lib.scimath.__warningregistry__,1
numpy.linalg.lapack_lite.__warningregistry__,1
numpy.linalg.linalg.__warningregistry__,1
numpy.matrixlib.defmatrix.__warningregistry__,1
numpy.lib.histograms.__warningregistry__,1
numpy.lib.stride_tricks.__warningregistry__,1
numpy.lib.nanfunctions.__warningregistry__,1
numpy.lib.polynomial.__warningregistry__,1
numpy.lib.arraysetops.__warningregistry__,1
numpy.lib._datasource.__warningregistry__,1
numpy.lib.npyio.__warningregistry__,1
numpy.lib.arrayterator.__warningregistry__,1
numpy.lib._version.__warningregistry__,1
numpy.fft._pocketfft_internal.__warningregistry__,1
numpy.fft.helper.__warningregistry__,1
numpy.polynomial.polyutils.__warningregistry__,1
numpy.polynomial.polynomial.__warningregistry__,1
numpy.polynomial.legendre.__warningregistry__,1
numpy.polynomial.hermite_e.__warningregistry__,1
numpy.polynomial.__warningregistry__,1
numpy.random._bit_generator.__warningregistry__,1
numpy.random._mt19937.__warningregistry__,1
numpy.random._philox.__warningregistry__,1
numpy.random._sfc64.__warningregistry__,1
numpy.random._pickle.__warningregistry__,1
numpy.ctypeslib.__warningregistry__,1
numpy.ma.extras.__warningregistry__,1
numpy.__warningregistry__,1
numpy.testing._private.utils.__warningregistry__,1
numpy.testing._private.nosetester.__warningregistry__,1
numpy.dual.__warningregistry__,1
"numpy.random.mtrand.RandomState.random(numpy.random.mtrand.RandomState, int)",4
"numpy.ndarray[tuple[slice[int, int, NoneType], slice[int, int, NoneType]]]",66
Type[numpy.uint16] == Type[builtins.bool],2
Type[numpy.float64] == Type[builtins.bool],2
Type[numpy.uint8] == Type[builtins.bool],1
Type[numpy.float32] == Type[builtins.bool],1
numpy._globals.__warningregistry__,1
numpy.version.__warningregistry__,1
numpy.core._multiarray_umath.__warningregistry__,1
numpy.compat.py3k.__warningregistry__,1
numpy.core.overrides.__warningregistry__,1
numpy.core.umath.__warningregistry__,1
numpy.core._dtype.__warningregistry__,1
numpy.core.numerictypes.__warningregistry__,1
numpy.core._exceptions.__warningregistry__,1
numpy.core.fromnumeric.__warningregistry__,1
numpy.core._ufunc_config.__warningregistry__,1
numpy.core.numeric.__warningregistry__,1
numpy.core.records.__warningregistry__,1
numpy.core.function_base.__warningregistry__,1
numpy.core.getlimits.__warningregistry__,1
numpy.core._multiarray_tests.__warningregistry__,1
numpy.core._dtype_ctypes.__warningregistry__,1
numpy._pytesttester.__warningregistry__,1
numpy.lib.mixins.__warningregistry__,1
numpy.lib.type_check.__warningregistry__,1
numpy.lib.twodim_base.__warningregistry__,1
numpy.linalg._umath_linalg.__warningregistry__,1
numpy.linalg.__warningregistry__,1
numpy.matrixlib.__warningregistry__,1
numpy.lib.function_base.__warningregistry__,1
numpy.lib.index_tricks.__warningregistry__,1
numpy.lib.shape_base.__warningregistry__,1
numpy.lib.utils.__warningregistry__,1
numpy.lib.format.__warningregistry__,1
numpy.lib._iotools.__warningregistry__,1
numpy.lib.financial.__warningregistry__,1
numpy.lib.arraypad.__warningregistry__,1
numpy.lib.__warningregistry__,1
numpy.fft._pocketfft.__warningregistry__,1
numpy.fft.__warningregistry__,1
numpy.polynomial._polybase.__warningregistry__,1
numpy.polynomial.chebyshev.__warningregistry__,1
numpy.polynomial.hermite.__warningregistry__,1
numpy.polynomial.laguerre.__warningregistry__,1
numpy.random._common.__warningregistry__,1
numpy.random._bounded_integers.__warningregistry__,1
numpy.random.mtrand.__warningregistry__,1
numpy.random._pcg64.__warningregistry__,1
numpy.random._generator.__warningregistry__,1
numpy.random.__warningregistry__,1
numpy.ma.core.__warningregistry__,1
numpy.ma.__warningregistry__,1
numpy.testing._private.__warningregistry__,1
numpy.testing._private.decorators.__warningregistry__,1
numpy.testing.__warningregistry__,1
numpy.dtype(Type[numpy.floating]),1
numpy.dtype.type,16
numpy.dtype.kind,12
numpy.dtype.itemsize,7
"numpy.issubdtype(arg1=Type[numpy.uint8], arg2=Type[numpy.floating])",2
"Type[numpy.float64] in list[Type[Union[numpy.bool_, numpy.float16, numpy.float32, numpy.float64, numpy.int16, numpy.int32, numpy.int64, numpy.int8, numpy.longlong, numpy.uint16, numpy.uint32, numpy.uint64, numpy.uint8, numpy.ulonglong]]]",1
numpy.iinfo.min,3
numpy.iinfo.max,5
numpy.float64,49
"numpy.multiply(numpy.ndarray, float, dtype=Type[numpy.float64])",2
numpy.ndarray.shape,690
"numpy.reshape(a=list[int], newshape=list[int])",1
numpy.ndarray += numpy.ndarray,54
"numpy.reshape(a=numpy.ndarray, newshape=list[int])",1
numpy.ndarray *= numpy.ndarray,14
numpy.sqrt(numpy.ndarray),44
numpy.ndarray / numpy.float64,30
*numpy.ndarray,114
"numpy.moveaxis(a=numpy.ndarray, destination=int, source=int)",5
"numpy.rollaxis(a=numpy.ndarray, axis=int)",11
numpy.floating,11
numpy.ndarray.dtype,238
numpy.obj2sctype(rep=Type[numpy.floating]),1
"Type[numpy.uint8] in list[Type[Union[numpy.bool_, numpy.float16, numpy.float32, numpy.float64, numpy.int16, numpy.int32, numpy.int64, numpy.int8, numpy.longlong, numpy.uint16, numpy.uint32, numpy.uint64, numpy.uint8, numpy.ulonglong]]]",1
numpy.iinfo(int_type=Type[numpy.uint8]),5
numpy.float32,41
numpy.dtype(Type[numpy.float64]),8
numpy.multiply,10
"numpy.asarray(a=numpy.ndarray, dtype=Type[numpy.float64])",4
numpy.zeros,168
"numpy.zeros(tuple[int, int], dtype=Type[builtins.float])",5
numpy.sqrt(int),18
"numpy.ndarray[tuple[slice[NoneType, NoneType, NoneType], slice[NoneType, NoneType, NoneType], int]]",15
"numpy.issubdtype(arg1=Type[numpy.float64], arg2=Type[numpy.floating])",5
numpy.ndarray <= float,18
numpy.array(list[numpy.ndarray]),19
numpy.rollaxis,1
numpy.asarray(a=int),3
numpy.any(a=numpy.bool_),1
numpy.empty_like(numpy.ndarray),14
"numpy.ones(dtype=Type[numpy.bool_], shape=tuple[int, int])",1
numpy.ndarray.copy(numpy.ndarray),56
"numpy.ndarray[tuple[slice[NoneType, NoneType, NoneType], slice[NoneType, NoneType, NoneType], slice[NoneType, int, NoneType]]]",3
numpy.asanyarray(a=numpy.ndarray),8
"numpy.ndarray.max(numpy.ndarray, int)",3
numpy.seterr,2
numpy.ndarray / numpy.ndarray,68
numpy.ndarray[numpy.ndarray] = float,14
"numpy.ndarray[tuple[numpy.ndarray, int]]",5
"numpy.ndarray[tuple[numpy.ndarray, int]] = numpy.ndarray",3
float + numpy.ndarray,14
"numpy.ndarray[tuple[builtins.ellipsis, int]]",61
numpy.ndarray / float,41
numpy.ndarray == float,7
"numpy.ndarray[tuple[builtins.ellipsis, int]] = numpy.ndarray",25
numpy.ndarray[numpy.ndarray] = int,45
numpy.obj2sctype(rep=numpy.dtype),1
"numpy.ndarray[tuple[slinumpy.ndarraye[NoneType, NoneType, NoneType], slinumpy.ndarraye[NoneType, NoneType, NoneType], int]] = numpy.ndarray",10
numpy.ndarray * int,52
"numpy.stack(arrays=list[numpy.ndarray], axis=int)",8
"numpy.ndarray.astype(numpy.ndarray, Type[numpy.uint8])",44
numpy.stack,13
"numpy.choose(a=numpy.ndarray, choices=list[numpy.ndarray])",1
"numpy.ndarray.ptp(numpy.ndarray, int)",1
numpy.seterr(invalid=str),1
numpy.ndarray % float,1
"numpy.seterr(divide=str, invalid=str, over=str, under=str)",1
numpy.isnan(numpy.ndarray),4
numpy.dtype(numpy.dtype),2
"numpy.issubdtype(arg1=Type[numpy.float64], arg2=Type[numpy.float64])",1
numpy.floor(numpy.ndarray),3
numpy.uint8,198
