function,count
numpy.dtype == str,18
numpy.datetime64,11
numpy.timedelta64,12
numpy.asarray(a=xarray.core.indexing.PandasIndexAdapter),3
"numpy.asarray(a=numpy.ndarray, dtype=numpy.dtype)",6
numpy.ndarray.dtype,100
"numpy.issubdtype(arg1=numpy.dtype, arg2=Type[numpy.datetime64])",7
numpy.ndarray.shape,56
numpy.ma,11
numpy.ndarray,52
numpy.dtype.kind,66
numpy.dtype(numpy.dtype),6
numpy.ndarray == numpy.ndarray,18
numpy.dtype.type,7
numpy.bool_,5
numpy.character,1
"numpy.zeros_like(a=numpy.ndarray, dtype=Type[builtins.bool])",1
numpy.ndarray | numpy.ndarray,2
"numpy.issubdtype(arg1=numpy.dtype, arg2=Type[numpy.timedelta64])",7
numpy.asarray,31
numpy.ndarray.ndim,45
numpy.ndarray.ravel(numpy.ndarray),21
"numpy.ndarray.reshape(numpy.ndarray, tuple[int])",18
numpy.ma.MaskedArray,3
numpy.asarray(a=numpy.ndarray),32
numpy.inexact,1
numpy.integer,12
numpy.void,1
numpy.ndarray & numpy.ndarray,1
numpy.ndarray.all(numpy.ndarray),16
numpy.asarray(a=pandas.core.series.Series),2
"numpy.ndarray[tuple[int, builtins.ellipsis]]",1
numpy.asarray(a=numpy.datetime64),3
numpy.array(numpy.ndarray),10
"numpy.asarray(a=numpy.ndarray, dtype=str)",3
numpy.errstate,4
numpy.ndarray == str,5
numpy.asarray(a=numpy.bool_),1
"numpy.ndarray.astype(numpy.ndarray, str)",14
"numpy.ndarray.reshape(numpy.ndarray, tuple[int, int, int])",16
numpy.isnat(numpy.ndarray),1
numpy.asarray(a=list[str]),7
numpy.array(list[str]),5
numpy.ndarray // int,1
numpy.ndarray[numpy.ndarray],12
"numpy.testing._private.utils.assert_array_equal(x=numpy.ndarray, y=numpy.ndarray)",76
"numpy.testing._private.utils.assert_array_equal(x=pandas.core.indexes.datetimes.DatetimeIndex, y=xarray.core.dataarray.DataArray)",1
"numpy.asarray(a=numpy.ndarray, dtype=NoneType)",5
numpy.ndarray.copy(numpy.ndarray),4
numpy.arange(int),199
"numpy.testing._private.utils.assert_array_equal(x=pandas.core.indexes.timedeltas.TimedeltaIndex, y=xarray.core.dataarray.DataArray)",1
dask.array.core.Array == numpy.ndarray,13
"numpy.vectorize(otypes=list[Type[builtins.int]], pyfunc=builtins.builtin_function_or_method)",1
numpy.asarray(a=list[int]),9
numpy.errstate(kwargs=dict),4
numpy.vectorize,2
numpy.<numpy.vectorize object at 0x7f89b8d80bb0>(args=tuple[numpy.ndarray]),1
numpy.<numpy.vectorize object at 0x7f89b8d804c0>(args=tuple[numpy.ndarray]),1
numpy.<numpy.vectorize object at 0x7f89a86dc400>(args=tuple[numpy.ndarray]),1
numpy.asarray(a=list[builtins.bool]),3
"numpy.vectorize(otypes=list[numpy.dtype], pyfunc=builtins.function)",1
builtins.str.upper(self=numpy.str_),1
numpy.str_(str),13
"numpy.vectorize(otypes=list[Type[builtins.bool]], pyfunc=builtins.function)",1
numpy.str_ in str,1
"numpy.ndarray.astype(numpy.ndarray, Type[numpy.bytes_])",1
numpy.bytes_(str),6
numpy.<numpy.vectorize object at 0x7f89a86bd430>(args=tuple[numpy.ndarray]),1
numpy.<numpy.vectorize object at 0x7f89b884f2e0>(args=tuple[numpy.ndarray]),1
numpy.builtins.bytesytes_ in builtins.bytes,1
numpy.<numpy.vectorize object at 0x7f89a86bdc10>(args=tuple[numpy.ndarray]),1
numpy.<numpy.vectorize object at 0x7f89b884f640>(args=tuple[numpy.ndarray]),1
numpy.<numpy.vectorize object at 0x7f892094fa90>(args=tuple[numpy.ndarray]),1
numpy.<numpy.vectorize object at 0x7f892094f0a0>(args=tuple[numpy.ndarray]),1
numpy.<numpy.vectorize object at 0x7f89b885c400>(args=tuple[numpy.ndarray]),1
numpy.<numpy.vectorize object at 0x7f89a86c4670>(args=tuple[numpy.ndarray]),1
numpy.<numpy.vectorize object at 0x7f8920942790>(args=tuple[numpy.ndarray]),1
"numpy.ndarray.astype(numpy.ndarray, Type[numpy.str_])",2
numpy.<numpy.vectorize object at 0x7f8920942ca0>(args=tuple[numpy.ndarray]),1
numpy.<numpy.vectorize object at 0x7f89b8d8bbb0>(args=tuple[numpy.ndarray]),1
numpy.<numpy.vectorize object at 0x7f89b8d6a520>(args=tuple[numpy.ndarray]),1
numpy.<numpy.vectorize object at 0x7f89b8d6ad60>(args=tuple[numpy.ndarray]),1
numpy.<numpy.vectorize object at 0x7f89b8d6ad30>(args=tuple[numpy.ndarray]),1
numpy.<numpy.vectorize object at 0x7f89b8d6a580>(args=tuple[numpy.ndarray]),1
numpy.empty,7
"numpy.empty(dtype=tuple[int], shape=Type[builtins.int])",1
"numpy.empty(dtype=tuple[int], shape=str)",1
numpy.<numpy.vectorize object at 0x7f89b8d6afd0>(args=tuple[numpy.ndarray]),1
"numpy.vectorize(otypes=list[Type[builtins.int]], pyfunc=builtins.function)",1
numpy.<numpy.vectorize object at 0x7f89b8d6a5e0>(args=tuple[numpy.ndarray]),1
numpy.<numpy.vectorize object at 0x7f89b8d6a790>(args=tuple[numpy.ndarray]),1
numpy.<numpy.vectorize object at 0x7f8978768160>(args=tuple[numpy.ndarray]),1
numpy.<numpy.vectorize object at 0x7f89787684f0>(args=tuple[numpy.ndarray]),1
numpy.<numpy.vectorize object at 0x7f89787688e0>(args=tuple[numpy.ndarray]),1
numpy.<numpy.vectorize object at 0x7f89787685e0>(args=tuple[numpy.ndarray]),1
numpy.<numpy.vectorize object at 0x7f8978768c10>(args=tuple[numpy.ndarray]),1
numpy.<numpy.vectorize object at 0x7f8978768b80>(args=tuple[numpy.ndarray]),1
numpy.<numpy.vectorize object at 0x7f8978768eb0>(args=tuple[numpy.ndarray]),1
