function,count,library
numpy.array,2092,pandas
numpy.nan,1988,pandas
numpy.ndarray.shape,690,skimage
numpy.arange,680,pandas
numpy.random,587,pandas
numpy.array,552,skimage
numpy.ndarray.dtype,542,pandas
numpy.zeros,447,skimage
numpy.random.mtrand.RandomState.randn,409,pandas
numpy.int64,359,pandas
numpy.testing._private.utils.assert_equal,338,skimage
numpy.ndarray.astype,335,pandas
numpy.dtype,313,pandas
builtins.iter,302,matplotlib
numpy.asarray,298,pandas
numpy.array,267,matplotlib
numpy.arange,267,xarray
numpy.ndarray.all,267,pandas
numpy.ndarray,252,pandas
numpy.testing._private.utils.assert_array_equal,238,skimage
numpy.ndarray.dtype,238,skimage
numpy.ndarray.astype,234,skimage
numpy.arange,233,matplotlib
numpy.ndarray.ndim,228,skimage
numpy.float64,226,pandas
numpy.timedelta64,216,pandas
numpy.uint8,204,skimage
numpy.array,194,xarray
numpy.ndarray.shape,193,matplotlib
numpy.nan,184,xarray
numpy.testing._private.utils.assert_almost_equal,181,skimage
numpy.testing._private.utils.assert_array_equal,178,xarray
numpy.ndarray.any,176,pandas
numpy.ones,170,skimage
numpy.array,160,dask.array
numpy.arange,151,dask.array
builtins.iter,151,pandas
numpy.ndarray.reshape,150,pandas
numpy.random,145,dask.array
numpy.random,145,skimage
numpy.ndarray.shape,138,pandas
numpy.isnan,133,pandas
numpy.random,130,xarray
numpy.arange,130,skimage
numpy.asarray,126,matplotlib
numpy.intp,125,pandas
numpy.datetime64,123,pandas
numpy.ndarray.ndim,122,pandas
numpy.int32,121,pandas
numpy.ndarray.copy,121,pandas
numpy.random,120,matplotlib
builtins.iter,120,skimage
numpy.zeros,118,pandas
numpy.testing._private.utils.assert_allclose,118,matplotlib
numpy.random.mtrand.RandomState.randn,114,xarray
numpy.ndarray.shape,112,dask.array
numpy.testing._private.utils.assert_array_equal,111,matplotlib
numpy.linspace,111,matplotlib
numpy.object_,109,pandas
numpy.sum,108,skimage
numpy.ndarray.dtype,106,dask.array
numpy.ndarray.view,105,pandas
numpy.ma,103,matplotlib
numpy.pi,101,matplotlib
numpy.ndarray.dtype,100,xarray
numpy.random.mtrand.RandomState.randint,98,pandas
numpy.empty,97,pandas
numpy.dtype.type,97,pandas
numpy.zeros,97,matplotlib
numpy.ndarray.reshape,96,skimage
numpy.errstate,95,pandas
numpy.ones,94,dask.array
numpy.mean,90,pandas
numpy.absolute,89,skimage
numpy.sqrt,88,skimage
numpy.sin,85,matplotlib
numpy.ones,84,pandas
numpy.asarray,84,xarray
numpy.testing._private.utils.assert_allclose,82,skimage
numpy.dtype.kind,82,pandas
numpy.all,82,skimage
numpy.asarray,81,skimage
numpy.pad,80,skimage
numpy.ndarray.take,79,pandas
numpy.bool_,78,pandas
numpy.sum,75,pandas
numpy.ndarray.sum,74,skimage
numpy.ndarray.ravel,73,skimage
numpy.ndarray.ndim,72,dask.array
numpy.ndarray.reshape,71,xarray
numpy.ndarray.reshape,70,dask.array
numpy.random.mtrand.RandomState.randint,69,dask.array
numpy.double,68,skimage
numpy.ndarray.ravel,68,pandas
numpy.absolute,67,matplotlib
numpy.testing._private.utils.assert_array_almost_equal,66,skimage
numpy.dtype.kind,66,xarray
numpy.ndarray.T,65,matplotlib
numpy.ndarray.max,65,skimage
