function,count
numpy.ndarray,54
numpy.isnan,52
numpy.dtype,15
numpy.isscalar,14
numpy.ndarray.ndim,72
numpy.ndarray.dtype,106
numpy.ndarray.shape,112
numpy.errstate,8
numpy.amax,40
numpy.ndarray.any,11
numpy.prod,50
numpy.vectorize,3
numpy.empty,26
numpy.allclose,16
numpy.concatenate,18
numpy.array,160
numpy.arange,151
numpy.ones,94
numpy.asarray,18
numpy.dot,24
numpy.ndarray.T,13
numpy.float64.ndim,6
numpy.eye,27
numpy.frombuffer,1
numpy.dtype.hasobject,2
numpy.ndarray.ravel,11
numpy.ndarray.strides,1
numpy.ndarray.view,7
numpy.random,145
numpy.random.mtrand.RandomState,8
numpy.linalg,23
numpy.inv,3
numpy.linalg._umath_linalg,2
numpy.matmul,5
numpy.ufunc.signature,2
numpy.ufunc.__name__,3
numpy.ndarray.reshape,70
numpy.float64,17
numpy.random.mtrand.RandomState.bytes,1
numpy.uint32,1
numpy.random.RandomState,1
numpy.random.mtrand.RandomState.normal,2
numpy.linalg._umath_linalg.eig,1
numpy.transpose,9
builtins.function.__name__,9
numpy.stack,8
numpy.ScalarType,1
numpy.ndarray.__class__,1
numpy.ceil,7
numpy.int64.ndim,7
numpy.mean,56
numpy.sum,62
numpy.float64.shape,10
numpy.zeros,38
numpy.int64.shape,5
Type[numpy.dtype].__module__,1
numpy.dtype.shape,4
numpy.ndarray.astype,55
numpy.ndarray.tolist,14
numpy.ndarray.mean,10
numpy.ndarray.sum,46
Type[numpy.ndarray].__module__,7
numpy.can_cast,2
builtins.iter,7
numpy.ndarray.flat,4
numpy.ndarray.size,10
numpy.dtype.itemsize,11
numpy.ndindex,5
numpy.random.mtrand.RandomState.random_sample,1
numpy.dtype.kind,4
numpy.nan,49
numpy.int64,12
builtins.builtin_function_or_method.__name__,1
numpy.block,10
numpy.ndarray.item,1
numpy.asanyarray,8
numpy.int64.dtype,5
numpy.int32,5
numpy.ufunc.nout,1
numpy.add,14
numpy.float32,11
numpy.int16,4
numpy.float64.dtype,3
numpy.result_type,4
numpy.maximum,11
numpy.ndarray.nbytes,1
numpy.exp,5
numpy.dtype.fields,2
numpy.ndarray.all,60
numpy.dtype.base,1
numpy.ndarray.__array_priority__,1
numpy.tensordot,8
numpy.ndarray.min,7
numpy.newaxis,8
numpy.random.mtrand.RandomState.random,56
numpy.ndarray.dot,6
numpy.random.mtrand.RandomState.randint,69
numpy.broadcast_to,8
numpy.random.randint,35
numpy.broadcast_arrays,6
numpy.bool_.dtype,1
numpy.bool_.ndim,3
numpy.full,4
numpy.ones_like,4
numpy.object_,2
numpy.ndarray.keys,1
numpy.float_,2
numpy.float32.ndim,4
numpy.int8,2
Type[numpy.ndarray].__name__,5
numpy.integer,3
numpy.where,18
numpy.searchsorted,4
numpy.diff,7
numpy.nonzero,2
numpy.issubdtype,6
numpy.vstack,7
numpy.ndarray.std,3
numpy.amin,41
numpy.var,36
numpy.sqrt,10
numpy.argmin,19
numpy.logaddexp,7
numpy.logaddexp2,8
numpy.log,13
numpy.log10,4
numpy.log1p,7
numpy.expm1,4
numpy.square,8
numpy.sin,11
numpy.cos,4
numpy.tan,4
numpy.arctan2,9
numpy.hypot,7
numpy.sinh,4
numpy.cosh,7
numpy.tanh,7
numpy.deg2rad,4
numpy.rad2deg,7
numpy.logical_and,7
numpy.logical_or,9
numpy.logical_xor,7
numpy.logical_not,7
numpy.minimum,8
numpy.fmax,9
numpy.fmin,7
numpy.isreal,5
numpy.iscomplex,5
numpy.isfinite,3
numpy.isinf,6
numpy.signbit,4
numpy.ldexp,9
numpy.fmod,9
numpy.degrees,7
numpy.radians,4
numpy.fix,1
numpy.angle,5
numpy.ndarray.__array_wrap__,1
numpy.real,6
numpy.imag,5
numpy.conjugate,8
numpy.clip,3
numpy.fabs,6
numpy.sign,7
numpy.absolute,11
numpy.empty_like,5
numpy.frexp,6
numpy.modf,6
numpy.matrix,3
numpy.datetime64,2
numpy.str_.ndim,1
numpy.int8.ndim,1
numpy.uint8,5
numpy.float16.ndim,1
numpy.timedelta64,3
numpy.uint16.ndim,1
numpy.complex64.ndim,2
numpy.bytes_,1
numpy.uint32.ndim,2
numpy.complex128.ndim,5
numpy.str_,1
numpy.uint64.ndim,1
numpy.float128,1
numpy.complex256.ndim,1
numpy.bool_,2
numpy.void.ndim,2
numpy.longlong.ndim,1
numpy.ulonglong,1
numpy.datetime64.ndim,1
numpy.matrix.shape,3
Type[numpy.matrix].__name__,1
numpy.matrix.dtype,3
Type[numpy.matrix].__module__,2
numpy.matrix.ndim,4
numpy.matrix.view,1
numpy.matrix.__class__,1
numpy.ndarray.copy,4
numpy.nan_to_num,2
numpy.random.mtrand.RandomState.randn,7
numpy.median,8
builtins.float.is_integer,1
numpy.ndarray.transpose,3
numpy.floating,1
numpy.intp,20
numpy.flatnonzero,2
numpy.memmap,1
numpy.save,2
numpy.load,3
numpy.memmap._mmap,1
Type[numpy.memmap].__module__,1
numpy.memmap.shape,1
numpy.ascontiguousarray,2
numpy.asfortranarray,1
Type[numpy.timedelta64].__module__,1
numpy.timedelta64.shape,1
numpy.timedelta64.ndim,1
numpy.cumsum,14
numpy.ndarray.cumsum,4
numpy.ma,50
numpy.ma.masked_array,18
numpy.cumprod,6
numpy.nancumsum,9
numpy.nancumprod,9
numpy.random.mtrand.RandomState.rand,19
numpy.ndarray.cumprod,3
numpy.AxisError,2
numpy.ndarray.__name__,1
numpy.full_like,4
numpy.generic.astype,3
numpy.true_divide,13
numpy.promote_types,2
numpy.__version__,1
numpy.ndarray.flatten,1
numpy.matrix.all,2
numpy.ndarray.max,8
numpy.linspace,14
builtins.function.__module__,3
numpy.cov,6
numpy.dstack,5
numpy.flip,3
numpy.hstack,2
numpy.round_,4
numpy.round,1
numpy.fft.fft,14
numpy.fft.fft2,11
numpy.min_scalar_type,1
numpy.linalg.det,1
numpy.linalg.eigvals,2
numpy.lib.mixins,1
numpy.ndarray.__array_function__,1
numpy.lib,1
numpy.lib.mixins.NDArrayOperatorsMixin,1
numpy.linalg.norm,6
numpy.sort,8
numpy.float,1
numpy.int32.ndim,3
numpy.linalg.qr,5
numpy.linalg.svd,5
numpy.zeros_like,5
numpy.indices,2
numpy.meshgrid,2
numpy.triu,5
numpy.tril,8
numpy.diag,8
numpy.diagonal,22
numpy.fromfunction,2
numpy.ndarray.repeat,2
numpy.ndarray.round,1
numpy.repeat,3
numpy.tile,5
numpy.pad,3
numpy.fft.ifft,11
numpy.fft.rfft,10
numpy.fft.irfft,10
numpy.fft.hfft,10
numpy.fft.ihfft,10
numpy.fft,8
numpy.fft.ifft2,5
numpy.fft.fftn,10
numpy.fft.ifftn,5
numpy.fft.rfft2,10
numpy.fft.irfft2,5
numpy.fft.rfftn,10
numpy.fft.irfftn,5
numpy.fft.__name__,1
builtins.function.__doc__,2
numpy.fft.fftfreq,1
numpy.fft.rfftfreq,1
numpy.fft.fftshift,1
numpy.fft.ifftshift,1
numpy.testing._private.utils.assert_equal,9
numpy.std,37
Type[numpy.vectorize].__module__,1
numpy.<numpy.vectorize object at 0x7fe2b8085c70>,1
numpy.vectorize.pyfunc,1
numpy.<numpy.vectorize object at 0x7fe2b8088130>,1
numpy.dtype.type,4
numpy.<numpy.vectorize object at 0x7fe2cbb0bf70>,1
numpy.einsum,13
numpy.<numpy.vectorize object at 0x7fe3082f4eb0>,1
numpy.g,2
numpy.uint8.ndim,2
numpy.random.mtrand.RandomState.standard_normal,1
numpy.bool_.shape,5
numpy.all,46
numpy.isclose,3
numpy.random.mtrand.RandomState.seed,16
numpy.linalg.lstsq,3
numpy.ndarray.sort,1
numpy.double,1
numpy.finfo.eps,1
numpy.finfo,1
numpy.linalg.matrix_rank,1
numpy.inf,4
numpy.random.random,10
numpy.ma.core.MaskedArray,9
numpy.ma.core.MaskedArray.data,1
numpy.ma.core.MaskedArray.mask,2
numpy.ma.core.MaskedArray.fill_value,2
numpy.ma.core.MaskedArray.dtype,7
numpy.ma.core.MaskedArray.shape,15
numpy.ma.core.MaskedArray.__class__,1
numpy.ma.core.MaskedArray.ndim,20
numpy.ma.core.concatenate,1
Type[numpy.ma.core.MaskedArray].__module__,1
numpy.ma.core._arraymethod.<locals>.wrapped_method,4
numpy.ma.masked_where,1
numpy.ma.core.masked_where,2
numpy.ma.masked_equal,1
numpy.ma.core.masked_equal,2
numpy.ma.filled,1
numpy.ma.core.filled,6
numpy.ma.core.MaskedArray.reshape,6
numpy.ma.concatenate,1
numpy.unique,8
numpy.ma.core.MaskedArray.fill_value =,1
numpy.ma.core.MaskedArray.__array_priority__,1
numpy.ma.core.dot,1
numpy.complex128,1
numpy.ma.core.MaskedArray.astype,1
numpy.ma.core.masked_greater,10
numpy.ma.core.masked_greater_equal,2
numpy.ma.core.masked_less,1
numpy.ma.core.masked_less_equal,2
numpy.ma.core.masked_not_equal,2
numpy.ma.masked_inside,1
numpy.ma.core.masked_inside,2
numpy.ma.masked_outside,1
numpy.ma.core.masked_outside,2
numpy.ma.masked_values,1
numpy.ma.core.masked_values,3
numpy.ma.core.masked_invalid,1
numpy.ma.core.fix_invalid,3
numpy.testing,9
numpy.ndarray.prod,1
numpy.ma.core.MaskedArray.sum,10
numpy.ma.core.divide,1
