function,count
numpy.isfinite,27
numpy.array,267
numpy.ndarray.reshape,64
numpy.ndarray.shape,193
numpy.inf,31
numpy.ndarray.copy,18
numpy.ma,103
numpy.can_cast,2
numpy.ndarray.astype,49
numpy.ma.masked,6
numpy.ndarray.dtype,24
numpy.ndarray.ndim,60
builtins.iter,302
numpy.ndarray.any,21
numpy.ma.MaskedArray,15
numpy.ma.core.filled,12
numpy.asarray,126
numpy.flagsobj.writeable =,2
numpy.dot,22
numpy.cos,60
numpy.ndarray.all,17
numpy.empty,23
numpy.unravel_index,1
numpy.ndarray.flat,17
numpy.column_stack,25
numpy.cumsum,12
numpy.ndarray.min,33
numpy.ndarray.max,43
numpy.any,12
numpy.iterable,60
numpy.diff,22
numpy.hstack,17
numpy.ndarray,15
numpy.finfo,1
numpy.finfo.tiny,1
numpy.ndarray.ravel,36
numpy.ndarray.T,65
numpy.broadcast_arrays,4
numpy.deg2rad,35
numpy.sin,85
numpy.ndarray.size,44
numpy.zeros,97
numpy.isclose,7
numpy.amax,26
numpy.sqrt,30
numpy.all,21
numpy.vstack,65
numpy.nonzero,4
numpy.ndarray.sum,13
numpy.ceil,26
numpy.absolute,67
numpy.round,1
numpy.arange,233
numpy.asanyarray,18
numpy.ptp,9
numpy.round_,7
numpy.errstate,17
numpy.amin,30
numpy.ndarray.searchsorted,4
numpy.log,21
numpy.log10,26
numpy.ma.core.power,3
numpy.ma.core.MaskedArray.reshape,8
Type[numpy.float64].__mro__,1
numpy.ndarray.index,1
Type[numpy.ndarray].__mro__,1
Type[numpy.int64].__mro__,1
numpy.newaxis,28
numpy.ma.core.getdata,2
numpy.ma.core.MaskedArray.ndim,29
numpy.atleast_1d,17
numpy.ndarray.tolist,14
numpy.e,9
numpy.log2,7
numpy.floor,19
numpy.concatenate,53
numpy.isinf,6
numpy.ma.core.is_masked,11
numpy.random,120
numpy.ravel_multi_index,1
numpy.ndarray.item,3
numpy.ndarray.flags,2
numpy.frombuffer,4
numpy.empty_like,10
numpy.apply_along_axis,3
numpy.convolve,2
numpy.r_,6
numpy.hanning,3
numpy.roll,4
numpy.dtype.kind,9
numpy.uint8,18
numpy.pad,1
numpy.mgrid,8
numpy.meshgrid,44
numpy.dtype.isnative,2
numpy.ma.masked_invalid,9
numpy.ma.core.MaskedArray.shrink_mask,1
numpy.ma.core.MaskedArray.ravel,6
numpy.ma.core.MaskedArray.size,13
numpy.max,5
numpy.integer,4
numpy.float32,11
numpy.ma.array,16
numpy.min_scalar_type,1
numpy.issubdtype,5
numpy.promote_types,4
numpy.ma.core.getmask,6
numpy.ma.core.array,17
numpy.searchsorted,2
numpy.clip,21
numpy.ndarray.take,1
numpy.nextafter,3
numpy.linspace,111
numpy.random.mtrand.RandomState.rand,23
numpy.hypot,28
numpy.append,4
numpy.arctan2,9
numpy.array_equal,2
numpy.linalg.inv,2
numpy.pi,101
numpy.atleast_3d,2
numpy.ndarray.transpose,2
numpy.ndarray.flatten,25
numpy.ones,37
numpy.full,8
numpy.floating,1
numpy.ma.core.MaskedArray.mask,23
numpy.ma.core.MaskedArray.min,10
numpy.ma.core.MaskedArray.max,12
numpy.ma.core.masked_invalid,24
numpy.ma.core.MaskedArray.dtype,14
numpy.ma.core.MaskedArray.shape,48
numpy.minimum,3
numpy.float64,51
numpy.generic.astype,9
numpy.ones_like,6
numpy.isnan,9
numpy.dtype.type,1
numpy.ma.core.asarray,12
numpy.sort,4
numpy.min,5
numpy.float,2
numpy.tan,4
numpy.rad2deg,14
numpy.ma.core.MaskedArray.data,12
numpy.transpose,6
numpy.nan,43
numpy.sign,6
numpy.where,6
numpy.interp,13
numpy.ndarray.squeeze,6
numpy.isscalar,5
numpy.nanmin,1
numpy.histogram,2
numpy.size,9
numpy.ndim,6
numpy.nanmax,1
numpy.random.mtrand.RandomState.normal,21
numpy.shape,15
numpy.atleast_2d,3
numpy.cov,2
numpy.linalg.det,1
numpy.exp,18
numpy.sum,25
numpy.mean,9
numpy.logical_and,1
numpy.ndarray.nonzero,1
numpy.ufunc.reduce,2
numpy.ravel,20
numpy.resize,8
numpy.reshape,2
numpy.percentile,4
numpy.power,7
numpy.linalg,5
numpy.median,2
numpy.logical_or,3
numpy.ma.getmask,2
numpy.broadcast_to,10
numpy.ndarray.cumsum,3
numpy.correlate,1
numpy.tile,22
numpy.full_like,4
numpy.random.mtrand.RandomState.seed,42
numpy.random.mtrand.RandomState.shuffle,1
numpy.maximum,4
numpy.generic.item,3
numpy.bool_.shape,1
numpy.ma.core.MaskedArray,9
numpy.bool_,1
numpy.float16,1
numpy.testing._private.utils.assert_allclose,118
numpy.split,1
numpy.datetime64,8
numpy.<numpy.vectorize object at 0x7fbfc8517370>,1
numpy.ndarray.name,1
numpy.arccos,1
numpy.ufunc.at,2
numpy.repeat,24
numpy.add,2
numpy.random.mtrand.RandomState.standard_normal,11
numpy.expand_dims,12
numpy.ma.masked_less_equal,3
numpy.ma.core.masked_less_equal,2
numpy.ma.core.MaskedArray.T,2
numpy.copyto,5
numpy.ma.core.min,1
numpy.ma.core.max,1
numpy.ndarray.fill,1
numpy.ndarray.argsort,4
numpy.ma.core.getmaskarray,4
numpy.stack,8
numpy.ma.core.MaskedArray.compressed,4
numpy.ma.core._arraymethod.<locals>.wrapped_method,2
numpy.ma.core,2
numpy.ndarray.repeat,2
numpy.NaN,3
numpy.ndarray.argmin,4
numpy.unique,8
numpy.random.mtrand.RandomState.randn,10
numpy.histogram_bin_edges,1
numpy.testing,34
numpy.ma.nomask,5
numpy.ma.core.MaskedArray.filled,12
numpy.ma.asarray,2
numpy.histogram2d,1
numpy.random.mtrand.RandomState.random,14
numpy.ma.extras.column_stack,1
numpy.ma.core.ravel,4
numpy.zeros_like,15
numpy.random.mtrand.RandomState.lognormal,1
numpy.isreal,2
numpy.random.lognormal,1
numpy.int16,5
numpy.ndarray.mean,14
numpy.random.mtrand.RandomState.randint,2
numpy.random.randint,2
numpy.random.normal,19
numpy.testing._private.utils.assert_array_equal,111
numpy.arcsin,2
numpy.ndarray.sort,3
numpy.ma.core.masked_equal,6
numpy.ndarray.strides,4
numpy.lib.stride_tricks,2
numpy.lib.stride_tricks.as_strided,2
numpy.fft,4
numpy.fft.fft,5
numpy.ndarray.real,4
numpy.lib,2
numpy.fft.fftfreq,1
numpy.conjugate,4
numpy.flipud,1
numpy.iscomplexobj,1
numpy.angle,4
numpy.unwrap,3
numpy.testing._private.utils.assert_array_almost_equal,41
numpy.ma.core.reshape,1
numpy.random.mtrand.RandomState.random_sample,1
numpy.ma.core.arctan2,1
numpy.ma.mask_or,1
numpy.allclose,9
numpy.testing.assert_allclose,4
numpy.int8,4
numpy.ma.core.masked_greater,1
numpy.bincount,9
Type[numpy.datetime64].__mro__,1
