function,count
numpy.mean,90
numpy.empty,97
numpy.object_,109
numpy.dtype,313
numpy.ndarray,252
numpy.dtype.type,97
numpy.dtype.kind,82
numpy.dtype.name,38
numpy.ndarray.astype,335
numpy.array,2092
Type[numpy.ndarray].__name__,12
numpy.asarray,298
numpy.ndarray.shape,138
numpy.ndarray.dtype,542
numpy.ndarray.ravel,68
numpy.ndarray.take,79
numpy.ndarray.argsort,19
numpy.bool_,78
numpy.integer,29
numpy.int64,359
numpy.flagsobj.f_contiguous,3
numpy.ndarray.ndim,122
numpy.datetime64,123
numpy.timedelta64,216
numpy.void,1
numpy.array_equal,7
numpy.signedinteger,2
numpy.ndarray.base,27
numpy.floating,12
numpy.complexfloating,4
numpy.can_cast,2
numpy.ndarray.flags,15
numpy.intp,125
numpy.unsignedinteger,2
numpy.float64,226
numpy.prod,25
numpy.isnan,133
numpy.ndarray.all,267
numpy.inf,60
numpy.ma.MaskedArray,2
numpy.bool,41
builtins.iter,151
numpy.sort,23
numpy.ndarray.view,105
numpy.ndim,12
numpy.number,20
numpy.nonzero,8
numpy.concatenate,64
numpy.nan,1988
numpy.ndarray.reshape,150
numpy.ndarray.setflags,16
numpy.uint64,50
numpy.ndarray.put,3
numpy.putmask,26
numpy.int_,8
numpy.arange,680
numpy.zeros,118
numpy.ndarray.any,176
numpy.issubdtype,11
numpy.ndarray.copy,121
numpy.any,33
numpy.random,587
numpy.random.mtrand.RandomState.randint,98
numpy.flagsobj.writeable =,9
numpy.ndarray.sort,3
numpy.ndarray.repeat,32
numpy.ComplexWarning,2
numpy.int8,59
numpy.ndarray.item,12
numpy.complex128,16
numpy.bitwise_xor,1
numpy.ndarray.__getitem__,1
numpy.ndarray.size,40
numpy.zeros_like,9
numpy.ufunc.reduce,11
numpy.object,35
numpy.fabs,4
numpy.iinfo.max,20
numpy.errstate,95
numpy.absolute,23
numpy.iinfo,19
numpy.in1d,5
numpy.ndarray.max,23
numpy.ndarray.min,15
numpy.iterable,2
numpy.ndarray.sum,49
numpy.isinf,16
numpy.linspace,19
numpy.ndarray.searchsorted,18
numpy.isfinite,14
numpy.modf,7
numpy.log10,6
numpy.around,2
numpy.floor,5
numpy.ndarray.nonzero,32
numpy.bincount,9
numpy.min_scalar_type,5
numpy.int32,121
numpy.uint8,43
numpy.where,64
numpy.append,8
numpy.ones,84
numpy.setdiff1d,3
numpy.NaN,51
numpy.insert,12
numpy.random.mtrand.RandomState.rand,49
numpy.tile,36
numpy.squeeze,3
numpy.ndarray.std,4
numpy.newaxis,8
numpy.allclose,14
numpy.random.mtrand.RandomState,21
numpy.vstack,9
numpy.generic.all,4
numpy.random.mtrand.RandomState.randn,409
numpy.random.mtrand.RandomState.choice,28
numpy.logical_not,6
Type[numpy.ndarray].__array_ufunc__,2
numpy.complex,2
numpy.random.BitGenerator,1
numpy.random.RandomState,2
numpy.random.choice,9
numpy.uint32,16
numpy.unique,12
numpy.typecodes,7
numpy.argsort,17
numpy.lexsort,10
numpy.broadcast_to,7
numpy.ndarray.fill,27
numpy.random.mtrand.RandomState.uniform,8
numpy.random._mt19937.MT19937,2
numpy.random.MT19937,2
numpy.random._pcg64.PCG64,2
numpy.random.PCG64,2
numpy.ndarray.cumsum,7
numpy.ceil,2
numpy.cumsum,13
numpy.dtype.names,6
numpy.c_,2
numpy.find_common_type,4
numpy.ndarray.T,64
numpy.asanyarray,7
numpy.log2,4
numpy.bitwise_or,4
numpy.atleast_2d,8
numpy.delete,8
numpy.dtype.itemsize,13
numpy.ndarray.swapaxes,4
numpy.sum,75
numpy.ndarray.transpose,2
numpy.all,55
numpy.ndarray.flat,13
numpy.ufunc,4
numpy.multiply,2
numpy.amax,27
numpy.repeat,63
numpy.fromiter,3
numpy.roll,4
numpy.log,13
numpy.iinfo.min,7
numpy.r_,14
numpy.diff,7
numpy.random.randint,43
numpy.ndarray.prod,2
numpy.nanmedian,3
numpy.float64.dtype,9
numpy.generic.astype,25
numpy.sqrt,41
numpy.expand_dims,4
numpy.apply_along_axis,10
numpy.generic.any,11
numpy.ndarray.tolist,30
numpy.cumproduct,2
numpy.product,3
numpy.random.mtrand.RandomState.seed,12
numpy.logical_and,10
numpy.bool_.ndim,2
numpy.take,19
numpy.split,2
numpy.float64.ndim,1
numpy.int64.ndim,2
numpy.nansum,7
numpy.complex128.ndim,1
numpy.real,1
numpy.imag,2
numpy.complex128.dtype,6
numpy.timedelta64.ndim,1
numpy.ndarray.mean,10
numpy.int16.dtype,6
numpy.int32.dtype,4
numpy.int64.dtype,7
numpy.float32,58
numpy.float32.dtype,5
numpy.float128,2
numpy.float128.dtype,1
numpy.median,11
numpy.var,11
numpy.ndarray.real,1
numpy.std,35
numpy.amin,28
numpy.iscomplexobj,1
numpy.datetime64.ndim,1
numpy.ndarray.argmax,8
numpy.argmax,12
numpy.ndarray.argmin,5
numpy.argmin,11
numpy.max,5
numpy.min,7
numpy.nanprod,4
numpy.corrcoef,7
numpy.cov,5
numpy.hstack,3
numpy.random.mtrand.RandomState.beta,4
numpy.place,3
numpy.nanmean,2
numpy.nanmin,11
numpy.nanmax,11
numpy.random.mtrand.RandomState.permutation,13
numpy.logical_or,7
numpy.flexible,1
numpy.str_,8
numpy.datetime_data,1
numpy.full,7
numpy.ndarray.__array_priority__,1
numpy.empty_like,14
numpy.uint16,10
numpy.promote_types,3
numpy.int16,37
numpy.bool_.dtype,4
numpy.timedelta64.dtype,6
Type[numpy.timedelta64].__name__,3
numpy.datetime64.dtype,7
numpy.busday_offset,1
numpy.is_busday,1
Type[numpy.datetime64].__name__,4
numpy.add,47
numpy.subtract,10
