function,count
numpy.linspace,42
numpy.exp,23
numpy.array,552
numpy.ndarray.astype,234
numpy.ndarray.mean,42
numpy.asarray,81
numpy.sum,108
numpy.absolute,89
numpy.testing._private.utils.assert_almost_equal,181
numpy.vstack,20
numpy.testing._private.utils.assert_equal,338
numpy.ndarray.T,60
numpy.all,82
numpy.ndarray.size,55
numpy.testing._private.utils.assert_array_equal,238
numpy.float64.ndim,1
numpy.testing,40
numpy.testing._private.utils.assert_allclose,82
numpy.testing.assert_allclose,4
numpy.r_,9
numpy.ndarray.ndim,228
numpy.int64,14
numpy.round_,14
numpy.__config__.__warningregistry__,1
numpy._distributor_init.__warningregistry__,1
numpy.compat._inspect.__warningregistry__,1
numpy.compat.__warningregistry__,1
numpy.core.multiarray.__warningregistry__,1
numpy.core._string_helpers.__warningregistry__,1
numpy.core._type_aliases.__warningregistry__,1
numpy.core._asarray.__warningregistry__,1
numpy.core._methods.__warningregistry__,1
numpy.core.shape_base.__warningregistry__,1
numpy.core.arrayprint.__warningregistry__,1
numpy.core.defchararray.__warningregistry__,1
numpy.core.memmap.__warningregistry__,1
numpy.core.machar.__warningregistry__,1
numpy.core.einsumfunc.__warningregistry__,1
numpy.core._add_newdocs.__warningregistry__,1
numpy.core._internal.__warningregistry__,1
numpy.core.__warningregistry__,1
numpy.lib.ufunclike.__warningregistry__,1
numpy.lib.scimath.__warningregistry__,1
numpy.linalg.lapack_lite.__warningregistry__,1
numpy.linalg.linalg.__warningregistry__,1
numpy.matrixlib.defmatrix.__warningregistry__,1
numpy.lib.histograms.__warningregistry__,1
numpy.lib.stride_tricks.__warningregistry__,1
numpy.lib.nanfunctions.__warningregistry__,1
numpy.lib.polynomial.__warningregistry__,1
numpy.lib.arraysetops.__warningregistry__,1
numpy.lib._datasource.__warningregistry__,1
numpy.lib.npyio.__warningregistry__,1
numpy.lib.arrayterator.__warningregistry__,1
numpy.lib._version.__warningregistry__,1
numpy.fft._pocketfft_internal.__warningregistry__,1
numpy.fft.helper.__warningregistry__,1
numpy.polynomial.polyutils.__warningregistry__,1
numpy.polynomial.polynomial.__warningregistry__,1
numpy.polynomial.legendre.__warningregistry__,1
numpy.polynomial.hermite_e.__warningregistry__,1
numpy.polynomial.__warningregistry__,1
numpy.random._bit_generator.__warningregistry__,1
